VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_NORMAL0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
40, 21, -16.63752,  2.3525,  3.85709, 1022, 2, 511, 0,  0.22302,  0.0722,  0.53662,  0.71436
41, 18, -17.74785,  2.35254,  3.85709, 2, 2, 511, 0,  0.2793,  0.0722,  0.52539,  0.71436
42, 18, -17.74785,  2.35254,  3.85709, 2, 2, 511, 0,  0.2793,  0.0722,  0.52539,  0.71436
43, 22, -18.79844,  2.35254,  3.85709, 1022, 2, 511, 0,  0.33252,  0.0722,  0.51465,  0.71436
44, 19, -18.79844,  1.24286,  3.85709, 2, 2, 511, 0,  0.33252,  0.00111,  0.51465,  0.70313
45, 23, -15.54695,  2.35254,  3.85709, 2, 2, 511, 0,  0.16772,  0.0722,  0.54785,  0.71436
46, 21, -16.63752,  2.3525,  3.85709, 1022, 2, 511, 0,  0.22302,  0.0722,  0.53662,  0.71436
47, 20, -15.54695,  1.24286,  3.85709, 2, 1022, 511, 0,  0.16772,  0.00111,  0.54785,  0.70313
48, 24, -14.93329,  4.60956,  3.85709, 1022, 1022, 511, 0,  0.8125,  0.46436,  0.5542,  0.7373
49, 25, -14.69794,  4.71932,  3.85709, 1022, 1022, 511, 0,  0.80029,  0.46997,  0.55664,  0.73828
50, 26, -15.54695,  4.71932,  3.85709, 2, 1022, 511, 0,  0.84375,  0.46997,  0.54785,  0.73828
51, 24, -14.93329,  4.60956,  3.85709, 1022, 1022, 511, 0,  0.8125,  0.46436,  0.5542,  0.7373
52, 26, -15.54695,  4.71932,  3.85709, 2, 1022, 511, 0,  0.84375,  0.46997,  0.54785,  0.73828
53, 27, -15.08088,  4.39181,  3.85709, 2, 1022, 511, 0,  0.82031,  0.45313,  0.55273,  0.73486
54, 26, -15.54695,  4.71932,  3.85709, 2, 1022, 511, 0,  0.84375,  0.46997,  0.54785,  0.73828
55, 28, -15.08105,  2.35254,  3.85709, 2, 1022, 511, 0,  0.82129,  0.34766,  0.55273,  0.71436
56, 27, -15.08088,  4.39181,  3.85709, 2, 1022, 511, 0,  0.82031,  0.45313,  0.55273,  0.73486
57, 26, -15.54695,  4.71932,  3.85709, 2, 1022, 511, 0,  0.84375,  0.46997,  0.54785,  0.73828
58, 29, -15.54695,  2.35254,  3.85709, 2, 2, 511, 0,  0.84521,  0.34741,  0.54785,  0.71436
59, 28, -15.08105,  2.35254,  3.85709, 2, 1022, 511, 0,  0.82129,  0.34766,  0.55273,  0.71436
60, 30, -12.59893,  4.76493,  3.85687, 2, 1022, 511, 0,  0.71387,  0.47217,  0.57764,  0.73877
61, 31, -14.13344,  4.6096,  3.85709, 2, 2, 511, 0,  0.7915,  0.46436,  0.56201,  0.7373
62, 32, -13.98563,  4.39181,  3.85709, 2, 2, 511, 0,  0.78418,  0.45313,  0.56348,  0.73486
63, 30, -12.59893,  4.76493,  3.85687, 2, 1022, 511, 0,  0.71387,  0.47217,  0.57764,  0.73877
64, 33, -14.36874,  4.71932,  3.85709, 1022, 1022, 511, 0,  0.80322,  0.46997,  0.55957,  0.73828
65, 31, -14.13344,  4.6096,  3.85709, 2, 2, 511, 0,  0.7915,  0.46436,  0.56201,  0.7373
66, 34, -12.59893,  2.3525,  3.85687, 2, 1022, 511, 0,  0.71338,  0.34839,  0.57764,  0.71436
67, 30, -12.59893,  4.76493,  3.85687, 2, 1022, 511, 0,  0.71387,  0.47217,  0.57764,  0.73877
68, 32, -13.98563,  4.39181,  3.85709, 2, 2, 511, 0,  0.78418,  0.45313,  0.56348,  0.73486
69, 34, -12.59893,  2.3525,  3.85687, 2, 1022, 511, 0,  0.71338,  0.34839,  0.57764,  0.71436
70, 32, -13.98563,  4.39181,  3.85709, 2, 2, 511, 0,  0.78418,  0.45313,  0.56348,  0.73486
71, 35, -13.98581,  2.3525,  3.85709, 2, 1022, 511, 0,  0.78467,  0.34839,  0.56348,  0.71436
72, 36, -15.54695,  4.71932,  3.85709, 2, 1022, 511, 0,  0.71338,  0.34497,  0.54785,  0.73828
73, 37, -14.69794,  4.71932,  3.85709, 1022, 1022, 511, 0,  0.75977,  0.34497,  0.55664,  0.73828
74, 38, -15.54695,  7.41854,  3.85709, 1022, 1022, 511, 0,  0.71338,  0.48828,  0.54785,  0.76563
75, 39, -14.36874,  4.71932,  3.85709, 1022, 1022, 511, 0,  0.77783,  0.34497,  0.55957,  0.73828
76, 38, -15.54695,  7.41854,  3.85709, 1022, 1022, 511, 0,  0.71338,  0.48828,  0.54785,  0.76563
77, 37, -14.69794,  4.71932,  3.85709, 1022, 1022, 511, 0,  0.75977,  0.34497,  0.55664,  0.73828
78, 39, -14.36874,  4.71932,  3.85709, 1022, 1022, 511, 0,  0.77783,  0.34497,  0.55957,  0.73828
79, 40, -12.59871,  7.41854,  3.85782, 1022, 1022, 511, 0,  0.875,  0.48828,  0.57764,  0.76563
80, 38, -15.54695,  7.41854,  3.85709, 1022, 1022, 511, 0,  0.71338,  0.48828,  0.54785,  0.76563
81, 40, -12.59871,  7.41854,  3.85782, 1022, 1022, 511, 0,  0.875,  0.48828,  0.57764,  0.76563
82, 39, -14.36874,  4.71932,  3.85709, 1022, 1022, 511, 0,  0.77783,  0.34497,  0.55957,  0.73828
83, 41, -12.59893,  4.76493,  3.85687, 2, 1022, 511, 0,  0.87451,  0.34741,  0.57764,  0.73877
84, 42, -12.59893,  1.24286,  3.85683, 2, 1022, 511, 0,  0.16785,  0.00111,  0.57764,  0.70313
85, 43, -13.98581,  2.3525,  3.85709, 2, 1022, 511, 0,  0.24524,  0.0722,  0.56348,  0.71436
86, 44, -15.08105,  2.35254,  3.85709, 2, 1022, 511, 0,  0.30615,  0.0722,  0.55273,  0.71436
87, 42, -12.59893,  1.24286,  3.85683, 2, 1022, 511, 0,  0.16785,  0.00111,  0.57764,  0.70313
88, 44, -15.08105,  2.35254,  3.85709, 2, 1022, 511, 0,  0.30615,  0.0722,  0.55273,  0.71436
89, 45, -15.54695,  1.24286,  3.85709, 2, 1022, 511, 0,  0.33228,  0.00111,  0.54785,  0.70313
90, 43, -13.98581,  2.3525,  3.85709, 2, 1022, 511, 0,  0.24524,  0.0722,  0.56348,  0.71436
91, 42, -12.59893,  1.24286,  3.85683, 2, 1022, 511, 0,  0.16785,  0.00111,  0.57764,  0.70313
92, 46, -12.59893,  2.3525,  3.85687, 2, 1022, 511, 0,  0.16785,  0.0722,  0.57764,  0.71436
93, 44, -15.08105,  2.35254,  3.85709, 2, 1022, 511, 0,  0.30615,  0.0722,  0.55273,  0.71436
94, 47, -15.54695,  2.35254,  3.85709, 2, 2, 511, 0,  0.33228,  0.0722,  0.54785,  0.71436
95, 45, -15.54695,  1.24286,  3.85709, 2, 1022, 511, 0,  0.33228,  0.00111,  0.54785,  0.70313
96, 48, -20.22344,  4.58457,  3.85709, 1022, 1022, 511, 0,  0.79102,  0.46289,  0.50,  0.73682
97, 49, -20.00491,  4.71932,  3.85709, 2, 1022, 511, 0,  0.80176,  0.46997,  0.50244,  0.73828
98, 50, -21.79539,  4.76493,  3.85709, 2, 1022, 511, 0,  0.71094,  0.47217,  0.48438,  0.73877
99, 48, -20.22344,  4.58457,  3.85709, 1022, 1022, 511, 0,  0.79102,  0.46289,  0.50,  0.73682
100, 50, -21.79539,  4.76493,  3.85709, 2, 1022, 511, 0,  0.71094,  0.47217,  0.48438,  0.73877
101, 51, -20.35811,  4.33496,  3.85709, 2, 1022, 511, 0,  0.78418,  0.4502,  0.49878,  0.73438
102, 50, -21.79539,  4.76493,  3.85709, 2, 1022, 511, 0,  0.71094,  0.47217,  0.48438,  0.73877
103, 52, -20.35828,  2.35254,  3.85709, 2, 2, 511, 0,  0.78564,  0.34766,  0.49878,  0.71436
104, 51, -20.35811,  4.33496,  3.85709, 2, 1022, 511, 0,  0.78418,  0.4502,  0.49878,  0.73438
105, 50, -21.79539,  4.76493,  3.85709, 2, 1022, 511, 0,  0.71094,  0.47217,  0.48438,  0.73877
106, 53, -21.79539,  2.37792,  3.85709, 2, 2, 511, 0,  0.7124,  0.34888,  0.48438,  0.71436
107, 52, -20.35828,  2.35254,  3.85709, 2, 2, 511, 0,  0.78564,  0.34766,  0.49878,  0.71436
108, 54, -18.79844,  4.71932,  3.85709, 2, 1022, 511, 0,  0.72998,  0.46997,  0.51465,  0.73828
109, 55, -19.38845,  4.58457,  3.85709, 2, 1022, 511, 0,  0.7002,  0.46289,  0.50879,  0.73682
110, 56, -19.25374,  4.33496,  3.85709, 1022, 1022, 511, 0,  0.70703,  0.4502,  0.51025,  0.73438
111, 54, -18.79844,  4.71932,  3.85709, 2, 1022, 511, 0,  0.72998,  0.46997,  0.51465,  0.73828
112, 57, -19.60693,  4.71932,  3.85709, 2, 1022, 511, 0,  0.68896,  0.46997,  0.50635,  0.73828
113, 55, -19.38845,  4.58457,  3.85709, 2, 1022, 511, 0,  0.7002,  0.46289,  0.50879,  0.73682
114, 58, -18.79844,  2.35254,  3.85709, 1022, 2, 511, 0,  0.73193,  0.34741,  0.51465,  0.71436
115, 54, -18.79844,  4.71932,  3.85709, 2, 1022, 511, 0,  0.72998,  0.46997,  0.51465,  0.73828
116, 56, -19.25374,  4.33496,  3.85709, 1022, 1022, 511, 0,  0.70703,  0.4502,  0.51025,  0.73438
117, 58, -18.79844,  2.35254,  3.85709, 1022, 2, 511, 0,  0.73193,  0.34741,  0.51465,  0.71436
118, 56, -19.25374,  4.33496,  3.85709, 1022, 1022, 511, 0,  0.70703,  0.4502,  0.51025,  0.73438
119, 59, -19.25361,  2.3525,  3.85709, 1022, 2, 511, 0,  0.7085,  0.34766,  0.51025,  0.71436
120, 59, -19.25361,  2.3525,  3.85709, 1022, 2, 511, 0,  0.7085,  0.34766,  0.51025,  0.71436
121, 60, -19.25361,  2.3525,  3.85709, 1022, 2, 511, 0,  0.7085,  0.34766,  0.51025,  0.71436
122, 58, -18.79844,  2.35254,  3.85709, 1022, 2, 511, 0,  0.73193,  0.34741,  0.51465,  0.71436
123, 61, -21.79539,  4.76493,  3.85709, 2, 1022, 511, 0,  0.854,  0.34741,  0.48438,  0.73877
124, 62, -20.00491,  4.71932,  3.85709, 2, 1022, 511, 0,  0.75635,  0.34497,  0.50244,  0.73828
125, 63, -21.79539,  7.41854,  3.85709, 2, 2, 511, 0,  0.854,  0.48828,  0.48438,  0.76563
126, 62, -20.00491,  4.71932,  3.85709, 2, 1022, 511, 0,  0.75635,  0.34497,  0.50244,  0.73828
127, 64, -18.79844,  7.41854,  3.85709, 2, 2, 511, 0,  0.68994,  0.48828,  0.51465,  0.76563
128, 63, -21.79539,  7.41854,  3.85709, 2, 2, 511, 0,  0.854,  0.48828,  0.48438,  0.76563
129, 62, -20.00491,  4.71932,  3.85709, 2, 1022, 511, 0,  0.75635,  0.34497,  0.50244,  0.73828
130, 65, -19.60693,  4.71932,  3.85709, 2, 1022, 511, 0,  0.73438,  0.34497,  0.50635,  0.73828
131, 64, -18.79844,  7.41854,  3.85709, 2, 2, 511, 0,  0.68994,  0.48828,  0.51465,  0.76563
132, 64, -18.79844,  7.41854,  3.85709, 2, 2, 511, 0,  0.68994,  0.48828,  0.51465,  0.76563
133, 65, -19.60693,  4.71932,  3.85709, 2, 1022, 511, 0,  0.73438,  0.34497,  0.50635,  0.73828
134, 66, -18.79844,  4.71932,  3.85709, 2, 1022, 511, 0,  0.68994,  0.34497,  0.51465,  0.73828
135, 67, -20.35828,  2.35254,  3.85709, 2, 2, 511, 0,  0.23914,  0.07172,  0.49878,  0.71436
136, 68, -21.79539,  1.24286,  3.85709, 2, 2, 511, 0,  0.30493,  0.00111,  0.48438,  0.70313
137, 69, -18.79844,  1.24286,  3.85709, 2, 2, 511, 0,  0.1676,  0.00111,  0.51465,  0.70313
138, 69, -18.79844,  1.24286,  3.85709, 2, 2, 511, 0,  0.1676,  0.00111,  0.51465,  0.70313
139, 70, -19.25361,  2.3525,  3.85709, 1022, 2, 511, 0,  0.18848,  0.07214,  0.51025,  0.71436
140, 67, -20.35828,  2.35254,  3.85709, 2, 2, 511, 0,  0.23914,  0.07172,  0.49878,  0.71436
141, 67, -20.35828,  2.35254,  3.85709, 2, 2, 511, 0,  0.23914,  0.07172,  0.49878,  0.71436
142, 71, -21.79539,  2.37792,  3.85709, 2, 2, 511, 0,  0.30493,  0.0722,  0.48438,  0.71436
143, 68, -21.79539,  1.24286,  3.85709, 2, 2, 511, 0,  0.30493,  0.00111,  0.48438,  0.70313
144, 72, -18.79844,  2.35254,  3.85709, 1022, 2, 511, 0,  0.1676,  0.0722,  0.51465,  0.71436
145, 70, -19.25361,  2.3525,  3.85709, 1022, 2, 511, 0,  0.18848,  0.07214,  0.51025,  0.71436
146, 69, -18.79844,  1.24286,  3.85709, 2, 2, 511, 0,  0.1676,  0.00111,  0.51465,  0.70313
147, 73, -19.25361,  2.3525,  3.85709, 1022, 2, 511, 0,  0.18848,  0.07214,  0.51025,  0.71436
148, 74, -19.25361,  2.3525,  3.85709, 1022, 2, 511, 0,  0.18848,  0.07208,  0.51025,  0.71436
149, 75, -20.35828,  2.35254,  3.85709, 2, 2, 511, 0,  0.23914,  0.07172,  0.49878,  0.71436
150, 76, -21.79539,  2.37792,  5.36691, 511, 2, 0, 0,  0.27808,  0.0722,  0.46484,  0.84717
151, 77, -21.79539,  1.24286,  5.36691, 511, 2, 0, 0,  0.27808,  0.00052,  0.46484,  0.83545
152, 78, -21.79539,  1.24286,  3.85709, 511, 2, 0, 0,  0.19482,  0.00052,  0.48022,  0.83545
153, 76, -21.79539,  2.37792,  5.36691, 511, 2, 0, 0,  0.27808,  0.0722,  0.46484,  0.84717
154, 78, -21.79539,  1.24286,  3.85709, 511, 2, 0, 0,  0.19482,  0.00052,  0.48022,  0.83545
155, 79, -21.79539,  2.37792,  3.85709, 511, 2, 0, 0,  0.19482,  0.0722,  0.48022,  0.84717
156, 80, -21.79539,  4.66334,  5.36691, 511, 2, 0, 0,  0.76709,  0.46729,  0.46484,  0.87012
157, 81, -21.79539,  4.76493,  3.85709, 511, 2, 0, 0,  0.69043,  0.47217,  0.48022,  0.87109
158, 82, -21.79539,  4.76493,  5.36691, 511, 2, 0, 0,  0.76465,  0.47217,  0.46484,  0.87109
159, 82, -21.79539,  4.76493,  5.36691, 511, 2, 0, 0,  0.76465,  0.47217,  0.46484,  0.87109
160, 83, -21.79539,  4.66334,  8.42504, 511, 2, 0, 0,  0.89844,  0.46729,  0.43384,  0.87012
161, 80, -21.79539,  4.66334,  5.36691, 511, 2, 0, 0,  0.76709,  0.46729,  0.46484,  0.87012
162, 82, -21.79539,  4.76493,  5.36691, 511, 2, 0, 0,  0.76465,  0.47217,  0.46484,  0.87109
163, 84, -21.79539,  4.76493,  8.42504, 511, 2, 0, 0,  0.89844,  0.47217,  0.43384,  0.87109
164, 83, -21.79539,  4.66334,  8.42504, 511, 2, 0, 0,  0.89844,  0.46729,  0.43384,  0.87012
165, 85, -21.79539,  2.37792,  3.85709, 511, 2, 0, 0,  0.69043,  0.34717,  0.48022,  0.84717
166, 81, -21.79539,  4.76493,  3.85709, 511, 2, 0, 0,  0.69043,  0.47217,  0.48022,  0.87109
167, 80, -21.79539,  4.66334,  5.36691, 511, 2, 0, 0,  0.76709,  0.46729,  0.46484,  0.87012
168, 85, -21.79539,  2.37792,  3.85709, 511, 2, 0, 0,  0.69043,  0.34717,  0.48022,  0.84717
169, 80, -21.79539,  4.66334,  5.36691, 511, 2, 0, 0,  0.76709,  0.46729,  0.46484,  0.87012
170, 86, -21.79539,  2.37792,  5.36691, 511, 2, 0, 0,  0.76709,  0.34741,  0.46484,  0.84717
171, 87, -12.59928,  4.47529,  6.23087, 513, 2, 0, 0,  0.73145,  0.45776,  0.41138,  0.80225
172, 88, -12.59893,  4.76493,  3.85687, 513, 2, 0, 0,  0.84961,  0.47217,  0.38721,  0.80518
173, 89, -12.59936,  3.72377,  5.98174, 513, 2, 0, 0,  0.7417,  0.41821,  0.40894,  0.79443
174, 90, -12.59893,  2.3525,  3.85687, 513, 2, 0, 0,  0.84961,  0.34766,  0.38721,  0.78027
175, 89, -12.59936,  3.72377,  5.98174, 513, 2, 0, 0,  0.7417,  0.41821,  0.40894,  0.79443
176, 88, -12.59893,  4.76493,  3.85687, 513, 2, 0, 0,  0.84961,  0.47217,  0.38721,  0.80518
177, 90, -12.59893,  2.3525,  3.85687, 513, 2, 0, 0,  0.84961,  0.34766,  0.38721,  0.78027
178, 91, -12.59936,  2.3525,  5.98174, 513, 2, 0, 0,  0.7417,  0.34766,  0.40894,  0.78027
179, 89, -12.59936,  3.72377,  5.98174, 513, 2, 0, 0,  0.7417,  0.41821,  0.40894,  0.79443
180, 92, -12.5991,  4.76493,  6.22997, 513, 2, 0, 0,  0.73438,  0.47217,  0.41138,  0.80518
181, 88, -12.59893,  4.76493,  3.85687, 513, 2, 0, 0,  0.84961,  0.47217,  0.38721,  0.80518
182, 87, -12.59928,  4.47529,  6.23087, 513, 2, 0, 0,  0.73145,  0.45776,  0.41138,  0.80225
183, 93, -12.59928,  4.76493,  6.43894, 513, 2, 0, 0,  0.72461,  0.47217,  0.41357,  0.80518
184, 92, -12.5991,  4.76493,  6.22997, 513, 2, 0, 0,  0.73438,  0.47217,  0.41138,  0.80518
185, 87, -12.59928,  4.47529,  6.23087, 513, 2, 0, 0,  0.73145,  0.45776,  0.41138,  0.80225
186, 94, -12.59928,  5.53149,  7.28764, 513, 2, 0, 0,  0.75098,  0.38794,  0.42212,  0.81299
187, 95, -12.59902,  7.41854,  6.22577, 513, 2, 0, 0,  0.80469,  0.48828,  0.41138,  0.83203
188, 96, -12.59928,  5.09011,  6.6726, 513, 2, 0, 0,  0.78223,  0.36475,  0.41602,  0.80859
189, 97, -12.59936,  5.78067,  8.04353, 513, 2, 0, 0,  0.7124,  0.40112,  0.42993,  0.81543
190, 95, -12.59902,  7.41854,  6.22577, 513, 2, 0, 0,  0.80469,  0.48828,  0.41138,  0.83203
191, 94, -12.59928,  5.53149,  7.28764, 513, 2, 0, 0,  0.75098,  0.38794,  0.42212,  0.81299
192, 98, -12.5991,  4.76493,  6.22997, 513, 2, 0, 0,  0.80469,  0.34766,  0.41138,  0.80518
193, 96, -12.59928,  5.09011,  6.6726, 513, 2, 0, 0,  0.78223,  0.36475,  0.41602,  0.80859
194, 95, -12.59902,  7.41854,  6.22577, 513, 2, 0, 0,  0.80469,  0.48828,  0.41138,  0.83203
195, 98, -12.5991,  4.76493,  6.22997, 513, 2, 0, 0,  0.80469,  0.34766,  0.41138,  0.80518
196, 99, -12.59928,  4.76493,  6.43894, 513, 2, 0, 0,  0.79395,  0.34766,  0.41357,  0.80518
197, 96, -12.59928,  5.09011,  6.6726, 513, 2, 0, 0,  0.78223,  0.36475,  0.41602,  0.80859
198, 100, -12.59902,  7.41854,  8.42508, 513, 2, 0, 0,  0.69287,  0.48828,  0.43384,  0.83203
199, 95, -12.59902,  7.41854,  6.22577, 513, 2, 0, 0,  0.80469,  0.48828,  0.41138,  0.83203
200, 97, -12.59936,  5.78067,  8.04353, 513, 2, 0, 0,  0.7124,  0.40112,  0.42993,  0.81543
201, 100, -12.59902,  7.41854,  8.42508, 513, 2, 0, 0,  0.69287,  0.48828,  0.43384,  0.83203
202, 97, -12.59936,  5.78067,  8.04353, 513, 2, 0, 0,  0.7124,  0.40112,  0.42993,  0.81543
203, 101, -12.59941,  5.78067,  8.42508, 513, 2, 0, 0,  0.69287,  0.40112,  0.43384,  0.81543
204, 102, -21.79539,  4.76493,  3.85709, 511, 2, 0, 0,  0.84424,  0.3479,  0.48022,  0.87109
205, 103, -21.79539,  7.41854,  3.85709, 511, 2, 0, 0,  0.84424,  0.48828,  0.48022,  0.89844
206, 104, -21.79539,  7.41854,  5.36691, 511, 2, 0, 0,  0.9209,  0.48828,  0.46484,  0.89844
207, 102, -21.79539,  4.76493,  3.85709, 511, 2, 0, 0,  0.84424,  0.3479,  0.48022,  0.87109
208, 104, -21.79539,  7.41854,  5.36691, 511, 2, 0, 0,  0.9209,  0.48828,  0.46484,  0.89844
209, 105, -21.79539,  4.76493,  5.36691, 511, 2, 0, 0,  0.9209,  0.3479,  0.46484,  0.87109
210, 106, -12.59871,  7.41854,  3.85782, 513, 2, 0, 0,  0.9209,  0.48828,  0.38721,  0.83203
211, 107, -12.59893,  4.76493,  3.85687, 513, 2, 0, 0,  0.9209,  0.34766,  0.38721,  0.80518
212, 108, -12.5991,  4.76493,  6.22997, 513, 2, 0, 0,  0.80029,  0.34766,  0.41138,  0.80518
213, 106, -12.59871,  7.41854,  3.85782, 513, 2, 0, 0,  0.9209,  0.48828,  0.38721,  0.83203
214, 108, -12.5991,  4.76493,  6.22997, 513, 2, 0, 0,  0.80029,  0.34766,  0.41138,  0.80518
215, 109, -12.59902,  7.41854,  6.22577, 513, 2, 0, 0,  0.80029,  0.48828,  0.41138,  0.83203
216, 110, -12.59893,  1.24286,  3.85683, 513, 2, 0, 0,  0.30469,  0.00106,  0.38721,  0.76904
217, 111, -12.59936,  1.24286,  5.98174, 513, 2, 0, 0,  0.18201,  0.00106,  0.40894,  0.76904
218, 112, -12.59936,  2.3525,  5.98174, 513, 2, 0, 0,  0.18201,  0.0722,  0.40894,  0.78027
219, 110, -12.59893,  1.24286,  3.85683, 513, 2, 0, 0,  0.30469,  0.00106,  0.38721,  0.76904
220, 112, -12.59936,  2.3525,  5.98174, 513, 2, 0, 0,  0.18201,  0.0722,  0.40894,  0.78027
221, 113, -12.59893,  2.3525,  3.85687, 513, 2, 0, 0,  0.30469,  0.0722,  0.38721,  0.78027
222, 114, -21.79539,  4.76493,  8.42504, 511, 2, 0, 0,  0.9209,  0.3479,  0.43384,  0.87109
223, 115, -21.79539,  4.76493,  5.36691, 511, 2, 0, 0,  0.76563,  0.3479,  0.46484,  0.87109
224, 116, -21.79539,  7.41854,  5.36691, 511, 2, 0, 0,  0.76563,  0.48828,  0.46484,  0.89844
225, 114, -21.79539,  4.76493,  8.42504, 511, 2, 0, 0,  0.9209,  0.3479,  0.43384,  0.87109
226, 116, -21.79539,  7.41854,  5.36691, 511, 2, 0, 0,  0.76563,  0.48828,  0.46484,  0.89844
227, 117, -21.79539,  7.41854,  8.42508, 511, 2, 0, 0,  0.9209,  0.48828,  0.43384,  0.89844
228, 118, -17.62119,  4.60956,  12.99303, 1022, 1022, 513, 0,  0.76758,  0.46436,  0.43848,  0.7373
229, 119, -18.79844,  4.71932,  12.99303, 2, 1022, 513, 0,  0.7085,  0.46997,  0.45044,  0.73828
